retrieved,url,volume,format,date1,date2,reo,ambiguous,other,percent,incomplete
2018-01-23 17:37:54.096581,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=397;num=389,417,OCR,"TUESDAY, 30 MAY 1978",1978-5-30,134,4106,36484,0.37,
2018-01-23 18:02:42.654022,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=452;num=444,417,OCR,"WEDNESDAY, 31 MAY 1978",1978-5-31,120,4411,40188,0.3,
2018-01-23 18:33:52.548699,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=512;num=504,417,OCR,"THURSDAY, 1 JUNE 1978",1978-6-1,69,3325,34494,0.2,
2018-01-23 19:13:51.859676,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=585;num=577,417,OCR,"FRIDAY, 2 JUNE 1978",1978-6-2,253,3016,31701,0.79,
2018-01-23 19:38:37.728258,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=631;num=623,417,OCR,"TUESDAY, 6 JUNE 1978",1978-6-6,53,2149,20726,0.26,
2018-01-23 19:55:28.478869,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=658;num=650,417,OCR,"WEDNESDAY, 7 JUNE 1978",1978-6-7,200,3628,37162,0.54,
2018-01-23 20:23:46.790413,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=711;num=703,417,OCR,"THURSDAY, 8 JUNE 1978",1978-6-8,171,3737,36621,0.46,
2018-01-23 20:49:58.566680,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=763;num=755,417,OCR,"FRIDAY, 9 JUNE 1978",1978-6-9,187,2587,25252,0.74,
2018-01-23 21:07:56.648853,https://babel.hathitrust.org/cgi/ssd?id=uc1.b2940168;page=ssd;view=plaintext;seq=800;num=792,417,OCR,"TUESDAY, 13 JUNE 1978",1978-6-13,130,3720,37126,0.35,
2018-02-20 23:22:22.890468,https://babel.hathitrust.org/cgi/ssd?id=uc1.b3103120,418,OCR,15 June 1978,1978-6-15,215,3660,36575,0.58,
