Date retreived,Hansard document url,Wā,Title,Te Reo length,Ambiguous length,Other length,Is Māori (%),Awaiting authorised reo
2018-01-10 16:28:19.472771,/en/pb/hansard-debates/rhr/document/48HansD_20080807/volume-649-week-82-thursday-7-august-2008,07-Aug-2008  ,"Parliamentary Debates (Hansard) for Thursday, 7 August 2008  ",202,1741,29223,0.6864910790144435,
2018-01-10 16:28:21.367213,/en/pb/hansard-debates/rhr/document/48HansD_20080826/volume-649-week-83-tuesday-26-august-2008,26-Aug-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 26 August 2008  ",260,3149,49462,0.522907364949117,
2018-01-10 16:28:23.860316,/en/pb/hansard-debates/rhr/document/48HansD_20080827/volume-649-week-83-wednesday-27-august-2008,27-Aug-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 27 August 2008  ",415,3258,49740,0.8274349516498853,
2018-01-10 16:28:26.414396,/en/pb/hansard-debates/rhr/document/48HansD_20080828/volume-649-week-83-thursday-28-august-2008,28-Aug-2008  ,"Parliamentary Debates (Hansard) for Thursday, 28 August 2008  ",97,1619,30585,0.31614627468874257,
2018-01-10 16:28:28.307189,/en/pb/hansard-debates/rhr/document/48HansD_20080902/volume-649-week-84-tuesday-2-september-2008,02-Sep-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 2 September 2008  ",179,2760,45886,0.3885813524367741,
2018-01-10 16:28:31.033503,/en/pb/hansard-debates/rhr/document/48HansD_20080903/volume-649-week-84-tuesday-2-september-2008-continued,02-Sep-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 2 September 2008(continued on Wednesday, 3 September 2008)  ",251,5628,97680,0.25630290714891096,
2018-01-10 16:28:34.953481,/en/pb/hansard-debates/rhr/document/48HansD_20080904/volume-649-week-84-tuesday-2-september-2008-continued,02-Sep-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 2 September 2008(continued on Thursday, 4 September 2008)  ",491,5860,92103,0.530271939866514,
2018-01-10 16:28:38.642938,/en/pb/hansard-debates/rhr/document/48HansD_20080905/volume-649-week-84-tuesday-2-september-2008-continued,02-Sep-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 2 September 2008(continued on Friday, 5 September 2008)  ",260,3481,55571,0.46569110350880333,
2018-01-10 16:28:41.200065,/en/pb/hansard-debates/rhr/document/48HansD_20080909/volume-650-week-85-tuesday-9-september-2008,09-Sep-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 9 September 2008  ",38,2750,45349,0.08372441447991716,
2018-01-10 16:28:43.862160,/en/pb/hansard-debates/rhr/document/48HansD_20080910/volume-650-week-85-wednesday-10-september-2008,10-Sep-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 10 September 2008  ",151,2374,39359,0.3821817261452797,
2018-01-10 16:28:46.090363,/en/pb/hansard-debates/rhr/document/48HansD_20080912/volume-650-week-85-wednesday-10-september-2008-continued,10-Sep-2008  ,"Parliamentary Debates (Hansard) for Wednesday, 10 September 2008(continued on Thursday, 11 September 2008)  ",104,1492,27907,0.37128271036378563,
2018-01-10 16:28:47.627722,/en/pb/hansard-debates/rhr/document/48HansD_20080911/volume-650-week-85-thursday-11-september-2008,11-Sep-2008  ,"Parliamentary Debates (Hansard) for Thursday, 11 September 2008  ",190,1874,29477,0.6404422422219975,
2018-01-10 16:28:49.481976,/en/pb/hansard-debates/rhr/document/48HansD_20080923/volume-650-week-86-tuesday-23-september-2008,23-Sep-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 23 September 2008  ",1562,2916,46273,3.265391449775269,
2018-01-10 16:28:52.062216,/en/pb/hansard-debates/rhr/document/48HansD_20080924/volume-650-week-86-tuesday-23-september-2008-continued,23-Sep-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 23 September 2008(continued on Wednesday, 24 September 2008)  ",1074,6401,96648,1.0990360410143059,
2018-01-10 16:28:56.383896,/en/pb/hansard-debates/rhr/document/48HansD_20080925/volume-650-week-86-tuesday-23-september-2008-continued,23-Sep-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 23 September 2008(continued on Thursday, 25 September 2008)  ",9083,8119,87538,9.400647892280146,
2018-01-10 16:29:00.104995,/en/pb/hansard-debates/rhr/document/48HansD_20080926/volume-650-week-86-tuesday-23-september-2008-continued,23-Sep-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 23 September 2008(continued on Friday, 26 September 2008)  ",143,1760,29045,0.4899273674112649,
2018-01-10 16:29:01.546091,/en/pb/hansard-debates/rhr/document/49HansD_20081208/volume-651-week-1-monday-8-december-2008,08-Dec-2008  ,"Parliamentary Debates (Hansard) for Monday, 8 December 2008  ",110,140,1461,7.001909611712285,
2018-01-10 16:29:02.480111,/en/pb/hansard-debates/rhr/document/49HansD_20081209/volume-651-week-1-tuesday-9-december-2008,09-Dec-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 9 December 2008  ",772,3580,52826,1.4403522519496996,
2018-01-10 16:29:05.251407,/en/pb/hansard-debates/rhr/document/49HansD_20081210/volume-651-week-1-tuesday-9-december-2008-continued,09-Dec-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 9 December 2008(continued on Wednesday, 10 December 2008)  ",924,7032,106280,0.8619081377560539,
2018-01-10 16:29:09.568477,/en/pb/hansard-debates/rhr/document/49HansD_20081211/volume-651-week-1-tuesday-9-december-2008-continued,09-Dec-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 9 December 2008(continued on Thursday, 11 December 2008)  ",807,6786,101557,0.7883630964010785,
2018-01-10 16:29:13.874757,/en/pb/hansard-debates/rhr/document/49HansD_20081212/volume-651-week-1-tuesday-9-december-2008-continued,09-Dec-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 9 December 2008(continued on Friday, 12 December 2008)  ",533,6507,102623,0.5166931637519873,
2018-01-10 16:29:17.964328,/en/pb/hansard-debates/rhr/document/49HansD_20081213/volume-651-week-1-tuesday-9-december-2008-continued,09-Dec-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 9 December 2008(continued on Saturday, 13 December 2008)  ",234,3521,57166,0.4076655052264808,
2018-01-10 16:29:20.599113,/en/pb/hansard-debates/rhr/document/49HansD_20081216/volume-651-week-2-tuesday-16-december-2008,16-Dec-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 16 December 2008  ",725,3214,48148,1.4834366623698156,
2018-01-10 16:29:23.379526,/en/pb/hansard-debates/rhr/document/49HansD_20081217/volume-651-week-2-tuesday-16-december-2008-continued,16-Dec-2008  ,"Parliamentary Debates (Hansard) for Tuesday, 16 December 2008(continued on Wednesday, 17 December 2008)  ",433,7023,107168,0.40241261698311354,
