Date retreived,Hansard document url,wā,title,Te Reo length,Ambiguous length,Other length,is Māori (%),awaiting authorised reo
2017-12-20 15:54:52.891859,/en/pb/hansard-debates/rhr/document/51HansD_20151203/volume-710-week-35-thursday-3-december-2015,03-Dec-2015  ,"Parliamentary Debates (Hansard) for Thursday, 3 December 2015  ",215,1827,31415,0.6797344293392349,
2017-12-20 15:54:54.845136,/en/pb/hansard-debates/rhr/document/51HansD_20151208/volume-710-week-36-tuesday-8-december-2015,08-Dec-2015  ,"Parliamentary Debates (Hansard) for Tuesday, 8 December 2015  ",148,3221,53078,0.2780595949348063,
2017-12-20 15:54:57.376608,/en/pb/hansard-debates/rhr/document/51HansD_20151209/volume-710-week-36-wednesday-9-december-2015,09-Dec-2015  ,"Parliamentary Debates (Hansard) for Wednesday, 9 December 2015  ",229,2424,34997,0.6500880031794697,
2017-12-20 15:54:59.505047,/en/pb/hansard-debates/rhr/document/51HansD_20160209/volume-711-week-37-tuesday-9-february-2016,09-Feb-2016  ,"Parliamentary Debates (Hansard) for Tuesday, 9 February 2016  ",1142,3938,55261,2.0247149974292147,
2017-12-20 15:55:02.050154,/en/pb/hansard-debates/rhr/document/51HansD_20160210/volume-711-week-37-wednesday-10-february-2016,10-Feb-2016  ,"Parliamentary Debates (Hansard) for Wednesday, 10 February 2016  ",264,3362,51321,0.5117766792672288,
2017-12-20 15:55:04.546388,/en/pb/hansard-debates/rhr/document/51HansD_20160211/volume-711-week-37-thursday-11-february-2016,11-Feb-2016  ,"Parliamentary Debates (Hansard) for Thursday, 11 February 2016  ",161,2024,31795,0.5038177494054324,
2017-12-20 15:55:06.571600,/en/pb/hansard-debates/rhr/document/51HansD_20160216/volume-711-week-38-tuesday-16-february-2016,16-Feb-2016  ,"Parliamentary Debates (Hansard) for Tuesday, 16 February 2016  ",56,3018,51644,0.10831721470019343,
2017-12-20 15:55:09.435861,/en/pb/hansard-debates/rhr/document/51HansD_20160217/volume-711-week-38-wednesday-17-february-2016,17-Feb-2016  ,"Parliamentary Debates (Hansard) for Wednesday, 17 February 2016  ",111,3066,51680,0.2143229518642235,
2017-12-20 15:55:12.090813,/en/pb/hansard-debates/rhr/document/51HansD_20160218/volume-711-week-38-thursday-18-february-2016,18-Feb-2016  ,"Parliamentary Debates (Hansard) for Thursday, 18 February 2016  ",180,1813,30929,0.5786106914397763,
2017-12-20 15:55:14.168987,/en/pb/hansard-debates/rhr/document/51HansD_20160301/volume-711-week-39-tuesday-1-march-2016,01-Mar-2016  ,"Parliamentary Debates (Hansard) for Tuesday, 1 March 2016  ",883,3995,53117,1.635185185185185,
